epoch,accuracy,loss,val_accuracy,val_loss
0,0.5819076895713806,1.0117510557174683,0.7416454553604126,0.634937047958374
1,0.6549028158187866,0.7828277349472046,0.7678419947624207,0.5276029706001282
2,0.6743859648704529,0.7082211971282959,0.7773730754852295,0.4908098876476288
3,0.6832091212272644,0.6747815608978271,0.7781444191932678,0.47876960039138794
4,0.6874310374259949,0.6524023413658142,0.7806775569915771,0.4598053991794586
5,0.6901156306266785,0.634958028793335,0.784464955329895,0.4478437304496765
6,0.6915491819381714,0.6212442517280579,0.784523069858551,0.4400857985019684
7,0.6921864748001099,0.6091473698616028,0.7850350737571716,0.4323417842388153
8,0.692575216293335,0.5995821356773376,0.7869287729263306,0.42388004064559937
9,0.6931969523429871,0.5905082821846008,0.7846639752388,0.4208528995513916
10,0.6938135027885437,0.5824917554855347,0.7853100895881653,0.4133908450603485
11,0.6941097378730774,0.5760695934295654,0.7842011451721191,0.4081410765647888
12,0.6949856877326965,0.5704953074455261,0.7841162085533142,0.4036427140235901
13,0.6952710747718811,0.5652333498001099,0.7814869284629822,0.40236422419548035
14,0.6956145167350769,0.5609305500984192,0.7857370972633362,0.3993292450904846
15,0.6968320608139038,0.5578451156616211,0.7839171886444092,0.3974284827709198
16,0.6965815424919128,0.5551957488059998,0.7848025560379028,0.39521151781082153
17,0.6970056295394897,0.5535415410995483,0.78555828332901,0.394550621509552
18,0.6972216963768005,0.5528427362442017,0.7854934334754944,0.3943570852279663
19,0.6970815658569336,0.5529124736785889,0.7809234857559204,0.40560978651046753
20,0.6901505589485168,0.5757975578308105,0.7855806350708008,0.4063357710838318
21,0.6903538703918457,0.571282148361206,0.783197283744812,0.40619808435440063
22,0.6911798119544983,0.5667917728424072,0.7817216515541077,0.40139099955558777
23,0.6908534169197083,0.5628809332847595,0.7813371419906616,0.39694565534591675
24,0.6909769773483276,0.5590413212776184,0.7895781993865967,0.39188942313194275
25,0.6907548308372498,0.5554265379905701,0.7874430418014526,0.38955411314964294
26,0.690700113773346,0.5518096685409546,0.7841541767120361,0.38706111907958984
27,0.6909793615341187,0.5488373041152954,0.7806239128112793,0.3853861093521118
28,0.6905595064163208,0.5450735688209534,0.7864413857460022,0.38120490312576294
29,0.6910350322723389,0.5420389771461487,0.7853972911834717,0.38043010234832764
30,0.6907566785812378,0.5390157103538513,0.7772590517997742,0.3788522481918335
31,0.6914864778518677,0.5368549227714539,0.7754883766174316,0.37886232137680054
32,0.691177487373352,0.534065842628479,0.7760025858879089,0.37611106038093567
33,0.6919341087341309,0.5308499336242676,0.7803645730018616,0.37256360054016113
34,0.6919713616371155,0.5287594199180603,0.7838054299354553,0.3707652688026428
35,0.6911755800247192,0.5257599353790283,0.7871255278587341,0.3657366633415222
36,0.692089319229126,0.5234009623527527,0.7819586992263794,0.36916086077690125
37,0.6923138499259949,0.5212839245796204,0.7807513475418091,0.3647570013999939
38,0.6923393607139587,0.519051730632782,0.7838769555091858,0.3629302382469177
39,0.6932780742645264,0.5167455673217773,0.7807893753051758,0.36061444878578186
40,0.6929341554641724,0.5143291354179382,0.7773417830467224,0.3612414002418518
41,0.6933719515800476,0.5118160247802734,0.7809190154075623,0.3580015003681183
42,0.6940606832504272,0.5102525353431702,0.782423734664917,0.3566509783267975
43,0.693871021270752,0.5084052085876465,0.7754369378089905,0.3564702570438385
44,0.6938818693161011,0.5060260891914368,0.7803332805633545,0.35392695665359497
45,0.6948375701904297,0.5043577551841736,0.7805657982826233,0.3531438410282135
46,0.6949394941329956,0.5026289820671082,0.7808206677436829,0.35030248761177063
47,0.6949725151062012,0.501432478427887,0.7836645841598511,0.3507934510707855
48,0.6951517462730408,0.4994039833545685,0.7831883430480957,0.34917348623275757
49,0.6957041621208191,0.4982875883579254,0.7826942205429077,0.34798291325569153
50,0.6960598230361938,0.4968120753765106,0.7821174263954163,0.3477618098258972
51,0.6956394910812378,0.4959617555141449,0.7827188372612,0.3469265103340149
52,0.6964027881622314,0.4949657618999481,0.7836422324180603,0.34643879532814026
53,0.6966258883476257,0.49408259987831116,0.7822538018226624,0.3459458351135254
54,0.6965362429618835,0.4931594133377075,0.7823789715766907,0.3451388478279114
55,0.696726381778717,0.4927687346935272,0.782765805721283,0.34521475434303284
56,0.6973811388015747,0.4924616515636444,0.782119631767273,0.34506940841674805
57,0.6970645785331726,0.4915950894355774,0.7817105054855347,0.3449813723564148
58,0.697169303894043,0.49192100763320923,0.7819810509681702,0.3449246287345886
59,0.6960371732711792,0.49462607502937317,0.7757007479667664,0.36781471967697144
60,0.6889641284942627,0.5211357474327087,0.7822962999343872,0.3579757809638977
61,0.6894571185112,0.5203359723091125,0.774213969707489,0.3649493157863617
62,0.6888745427131653,0.5201365947723389,0.7766375541687012,0.36190614104270935
63,0.689225971698761,0.519078254699707,0.7792824506759644,0.3611186146736145
64,0.6894820928573608,0.5182254910469055,0.7780997157096863,0.36171552538871765
65,0.6885782480239868,0.5173646211624146,0.7765503525733948,0.35774821043014526
66,0.6892514228820801,0.5164740681648254,0.7746298313140869,0.3597675859928131
67,0.6890183687210083,0.5157130360603333,0.7811470627784729,0.35590535402297974
68,0.689026415348053,0.5147634744644165,0.7876576781272888,0.35495302081108093
69,0.6891943216323853,0.5133550763130188,0.7808228731155396,0.35456034541130066
70,0.6893311738967896,0.5127687454223633,0.7870987057685852,0.3532859683036804
71,0.6893910765647888,0.5112229585647583,0.7800739407539368,0.3532427251338959
72,0.6896368265151978,0.510312020778656,0.7851178050041199,0.3523917496204376
73,0.6892004609107971,0.5092730522155762,0.7777934074401855,0.35116276144981384
74,0.6896160840988159,0.5085362195968628,0.7788084745407104,0.35103896260261536
75,0.6898316740989685,0.5077666640281677,0.7838433980941772,0.34888550639152527
76,0.6894406080245972,0.5062976479530334,0.7818446159362793,0.35156601667404175
77,0.6897571086883545,0.5050745606422424,0.7854151725769043,0.34855520725250244
78,0.689745306968689,0.50392746925354,0.7744151949882507,0.35067152976989746
