epoch,accuracy,loss,val_accuracy,val_loss
0,0.6881021857261658,0.726607084274292,0.8097023367881775,0.33915263414382935
1,0.7676221132278442,0.4383252263069153,0.8480324149131775,0.2759740352630615
2,0.7890198826789856,0.39071711897850037,0.8714543581008911,0.24757607281208038
3,0.8020056486129761,0.3641454875469208,0.873222827911377,0.23733875155448914
4,0.8117157220840454,0.34552261233329773,0.8765764832496643,0.22935332357883453
5,0.81797194480896,0.33156493306159973,0.881537675857544,0.2166530191898346
6,0.822454035282135,0.3199671804904938,0.8744480609893799,0.21209082007408142
7,0.8253265023231506,0.31076499819755554,0.8878112435340881,0.20427770912647247
8,0.8277308940887451,0.3034658432006836,0.894196629524231,0.19690240919589996
9,0.8298541903495789,0.2965783178806305,0.8990258574485779,0.1906210482120514
10,0.8318361043930054,0.2914392352104187,0.8971835970878601,0.18827860057353973
11,0.8338720202445984,0.28685691952705383,0.8928506970405579,0.1893722265958786
12,0.835800290107727,0.2830069959163666,0.8930585980415344,0.18711088597774506
13,0.8371937274932861,0.280193954706192,0.8964346051216125,0.18532223999500275
14,0.8386595845222473,0.27753356099128723,0.8997212052345276,0.18168824911117554
15,0.8395191431045532,0.27556541562080383,0.9014941453933716,0.18023402988910675
16,0.8402917981147766,0.2740638852119446,0.8981136679649353,0.181993767619133
17,0.841000497341156,0.2731492519378662,0.9013488292694092,0.18006037175655365
18,0.841423511505127,0.2725463807582855,0.9023348093032837,0.17962446808815002
19,0.8406733870506287,0.2734818160533905,0.8776742815971375,0.2040073126554489
20,0.8341140151023865,0.2837677001953125,0.8999380469322205,0.18231023848056793
21,0.8382459878921509,0.27557000517845154,0.8982053399085999,0.17957793176174164
22,0.84088534116745,0.2696691155433655,0.8770884871482849,0.18513847887516022
23,0.8430444002151489,0.2653365433216095,0.8975368738174438,0.18090872466564178
24,0.8445520997047424,0.2618978023529053,0.9022073745727539,0.1710272580385208
25,0.8469658493995667,0.2569619417190552,0.909927487373352,0.1697455644607544
26,0.848755955696106,0.25395941734313965,0.9025181531906128,0.16955678164958954
27,0.8500610589981079,0.25181639194488525,0.9060640931129456,0.16734908521175385
28,0.850461483001709,0.2522948384284973,0.9081165194511414,0.16729167103767395
29,0.853254497051239,0.24745969474315643,0.9083825945854187,0.16392771899700165
30,0.8547974228858948,0.2442927211523056,0.9118368625640869,0.16345900297164917
31,0.8564916849136353,0.2410847693681717,0.9101756811141968,0.16143052279949188
32,0.8576698899269104,0.2394261658191681,0.9097285270690918,0.16259369254112244
33,0.8592203259468079,0.23588991165161133,0.9127378463745117,0.15930666029453278
34,0.8598040342330933,0.23465698957443237,0.9128608107566833,0.15801601111888885
35,0.8615574836730957,0.2320011854171753,0.9118949770927429,0.15720422565937042
36,0.8613676428794861,0.2312672734260559,0.9082171320915222,0.15780578553676605
37,0.8626919984817505,0.22909681499004364,0.909285843372345,0.1585068553686142
38,0.8633753657341003,0.22770924866199493,0.9160982370376587,0.15483252704143524
39,0.8638876080513,0.2261284589767456,0.9136008620262146,0.15478509664535522
40,0.8648228645324707,0.2250312715768814,0.9134823679924011,0.15257413685321808
41,0.8654465079307556,0.22378969192504883,0.9150697588920593,0.15321846306324005
42,0.8660227060317993,0.22256231307983398,0.9144102334976196,0.15141455829143524
43,0.8670124411582947,0.22065111994743347,0.9135516881942749,0.15136872231960297
44,0.8672112226486206,0.2201070338487625,0.9143520593643188,0.1499389410018921
45,0.867749810218811,0.21922029554843903,0.9158902764320374,0.150580033659935
46,0.8679584860801697,0.2185661941766739,0.9165610074996948,0.1486150324344635
47,0.8685628771781921,0.2176344394683838,0.9134130477905273,0.14980928599834442
48,0.8690041899681091,0.2166428416967392,0.9142492413520813,0.1492408961057663
49,0.8694891929626465,0.21598801016807556,0.9168248772621155,0.14821963012218475
50,0.8696842193603516,0.21540187299251556,0.915686845779419,0.14772382378578186
51,0.8699309825897217,0.21497812867164612,0.9156689643859863,0.14692643284797668
52,0.8701066970825195,0.21442346274852753,0.9158858060836792,0.1473264992237091
53,0.8701339960098267,0.21405787765979767,0.9173905253410339,0.14727453887462616
54,0.87082439661026,0.21371275186538696,0.9161272644996643,0.14722247421741486
55,0.8706377744674683,0.21341422200202942,0.9176520705223083,0.1472615897655487
56,0.8709630370140076,0.21314378082752228,0.9174150824546814,0.1466483771800995
57,0.8709968328475952,0.21306151151657104,0.9170931577682495,0.1466505229473114
58,0.8710170388221741,0.21299195289611816,0.9170842170715332,0.14674098789691925
59,0.8695460557937622,0.2151447832584381,0.911047637462616,0.15669603645801544
60,0.8589552640914917,0.2323654741048813,0.9107658863067627,0.15335144102573395
61,0.8623982667922974,0.2269417941570282,0.915823221206665,0.15339674055576324
62,0.8616975545883179,0.2273733764886856,0.90916508436203,0.15157009661197662
63,0.8636512160301208,0.22538965940475464,0.9131201505661011,0.1527196764945984
64,0.8645338416099548,0.22326362133026123,0.9094333648681641,0.15115715563297272
65,0.8629096150398254,0.2259727269411087,0.9071372747421265,0.15862372517585754
66,0.862608790397644,0.22533640265464783,0.9118368625640869,0.16094976663589478
67,0.8645094037055969,0.22214028239250183,0.9179024696350098,0.14779742062091827
68,0.8665335178375244,0.2193976491689682,0.9122728109359741,0.1514272838830948
69,0.8645206689834595,0.22091324627399445,0.9146472215652466,0.14825551211833954
70,0.862417995929718,0.22311745584011078,0.911657989025116,0.15019772946834564
71,0.8632799386978149,0.22203366458415985,0.9109917283058167,0.15010984241962433
72,0.8652190566062927,0.2190869152545929,0.9102718234062195,0.1495877206325531
73,0.8669531941413879,0.21688102185726166,0.9167242646217346,0.1494278758764267
74,0.8666237592697144,0.217474102973938,0.917880117893219,0.14677557349205017
75,0.8681699633598328,0.21505126357078552,0.9136992692947388,0.14771497249603271
76,0.8687142133712769,0.21360890567302704,0.9185352325439453,0.14834684133529663
